id,name,type,root
Gwd6XGKFXHP3esjKg,Andre Eikmeier,crunchbase,
2fXL6oxBcp4yQ9iSQ,Ananth Narayanan,crunchbase,
58e49e04c85056826f3c3167,Anant Pandit,crunchbase,
58f6ca575e5894a466523dae,Anandbir Singh,manualEntry,
5yJAxPnBWSuwtaQH7,Ananda Kallugadde,crunchbase,
58d928219ac07d5b367b7389,Anand Swaminathan,crunchbase,
58e48ee1e97d628b0573dc78,Anand Sankeshwar,crunchbase,
5948a7087e5eb9250a10c072,Anand Rajaraman,manualEntry,
58ff17f4f828c5e17eec2205,Anand Morzaria,crunchbase,
58cb92667920aec65aee5ade,Anand Mahindra,crunchbase,
iQtfPAePRxQNEed8v,Anand Ladsariya,crunchbase,
58d9d07814bec1f3a0b3406d,Anand Chandrasekaran,crunchbase,
58edbc1b350a5db211fc58a0,Analysys,manualEntry,
NWE3ScC4HugvPsrtP,Anacacia Capital,manualEntry,
iozJ9foELP9ZBgvWp,An Zheng Lu (天津安正路投资),manualEntry,
58ec70a37a9390f74403a8ec,An Tuo Xin,manualEntry,
ZREaq9gBFvw2nLd5E,Amun Capital,crunchbase,
876n6t29oxNp6jcXK,Amrish Kumar,manualEntry,
qu5csPD3vMGia52XE,Amplify Partners,crunchbase,
YtbnheiQGMsyRfd6F,Ample Harvest Capital (丰实资本- 嘉实基金),manualEntry,
FYpvJpPofabQco8JY,Amphora Ventures (安芙兰创投),manualEntry,
Tqb9FDRtrQmPAGLw5,AMP New Ventures,crunchbase,
2kRkWLBwyvojKujbz,Amp Capital Partners,crunchbase,AMP New Ventures
rz29abkohdr4x6ovb,Amol Sarva,crunchbase,
6TC45sXa2syg56Xtf,Amoeba Capital (阿米巴基金),manualEntry,
591d44175e374018aff409be,Amod Malviya,crunchbase,
58e39a86461dfc49cbc90b02,Amitabh Srivastava,crunchbase,
L5qdbpZfYXANFLaYK,Amit Singhal,manualEntry,
zuCMd573Fj559HZza,Amit Sharma,crunchbase,
5912cc79e7a2b59180d817d7,Amit Rathore,crunchbase,
CbfQcpXEzHqdGXrzh,Amit Ranjan,manualEntry,
KzkBdpwsWzteKZ9vH,Amit Patni,manualEntry,
58e59e035646a9c64d49a232,Amit Khanna,crunchbase,
597810caa4d2a363808c72b8,Amit Kapoor,crunchbase,
xZ8aSoiSKJysjFDoS,Amit Jindal,crunchbase,
hCCgFwydNy2ewXuDd,Amit Gupta,crunchbase,
595f02c0b4978d03496d1196,Amit Bhatiani,manualEntry,
SMorSXdXKZc4Cn3Zk,Amish Jani,crunchbase,
AYbDSa7FhZ2y7tE2A,Amidzad Partners,crunchbase,
nSAqZZzRfJtXWnv89,Amiba Capital,manualEntry,
590ae15fc3eab55785c97db3,Amgen Ventures,manualEntry,
58d0fb839f57a0edde85a5eb,Amerindo Investment Advisors,crunchbase,
595dfbc30d73171d30cd6ee4,American Express Ventures,crunchbase,
LBJHiW6boxRAPQsgH,American Express,crunchbase,American Express Ventures
591a6c6d0afb52032fc8679e,Ameba Capital,crunchbase,
mmAzJNprZXyZTwhQg,AME Ventures,manualEntry,
5919154775828db4224ce779,AMC International,crunchbase,
mgzTRMjCoP4F3soPX,Ambrosia Software,crunchbase,
58edcf4216a2041c5631cc10,Ambit Pragma Ventures,crunchbase,
ZAp6YhumKc3YWavEX,Ambient Sound Investments,crunchbase,
