id,name,type
5mY2ttj3z9cuyf3aE,Superpix Micro Technology,crunchbase
6B4aYyXqG3XdRuE7J,Gary Jackson,crunchbase
5nEzg6YEtFYAncRuA,IDG Ventures,crunchbase
6BpPQEj7doGMZ8ao6,Europlay Capital Advisors,crunchbase
6CFhvmuizZBoBGEfc,88mph,manualEntry
6LtABKHNruYf3dGsD,WENS (温氏投资),manualEntry
5wBos7W7dj53zth6g,Rick Marini,crunchbase
6xv7wcMyCsmLB7JkB,Woody Harrelson,crunchbase
6byTScuthn4okwnQv,Brad Bao,crunchbase
7DTRttjHG4bYfB9ax,Fortune Link (东方汇富),manualEntry
6tfruS6hodYEYu4RE,Leni Mayo,crunchbase
7DZpRQTdMNFcFeo8X,idreamsky (乐逗游戏),manualEntry
7atFi6XPmAmHXfC8g,Kohlberg Kravis Roberts (KKR),manualEntry
7SjgtH5cBjbz3v4Zs,Angel Plus (洪泰基金),manualEntry
7uGvLL93Qm83Qc6vG,Bluebell Group,crunchbase
89wsziKeqwKxbgTBD,Guy Oseary,crunchbase
8aZEtDPfftqrfLK4g,Upstream Ventures,manualEntry
8ejWEkbGdAwBTtg2d,Khazanah Nasional Berhad,crunchbase
9TnJRKcCGh5FAs75d,E-Merge,crunchbase
9dzk3b8kEGqdDKMjC,Arne Lindman,crunchbase
8gBkXj7RSGZQWmhs3,Groupon,crunchbase
A3RNACpmuFn8SX2QF,HNA Group (海航资本),manualEntry
9TW2kgwCZHDRECRop,Klaus von Sayn-Wittgenstein,crunchbase
9a33nhZRvFjhM37Pd,Surya Semesta Internusa,manualEntry
24vBFnYBR7MwXn8gf,Cyanhill Ventures (青山资本),manualEntry
9v5hGMLAwuyMZDzAT,Charlie Cheever,crunchbase
2KcSP4x6CcS2mKoa5,Impact Guru,manualEntry
342vRMLv8E9BDxaQG,Willson Cuaca,manualEntry
26CqHTypkBgsEcWCt,SMG,crunchbase
3D7qPADMX2aKqGxtm,World Innovation Lab,manualEntry
2WDwQKxgxHjvXmpLP,WatchTower and Friends (WTF Accelerator),manualEntry
3XKkd2Ypwfv5rQEWo,Acer,crunchbase
2bzrRi4xxisD8YmtT,AT Capital,crunchbase
4YEhsEBxJyurir6a3,Greenoaks Capital,crunchbase
3ED38HbxQx9YaKAgw,Arjun Handa,crunchbase
4qeweSDbSBjkmS7hX,Nanfang Asset Management,crunchbase
3cdiHhqnG5to5Cku7,Nishant Vispute,crunchbase
4wPQ47kAYsGNC6Cqp,Gary Stiffelman,crunchbase
42baEg4u9DcrcRJDJ,Chris Ingram,manualEntry
59Bbv8QGc7tiJ6aHo,ECONA AG,crunchbase
47uScW2QSSfQf6WjP,Budi Setiadharma,crunchbase
5CgL723fkQYt2LqQM,Selr8r,crunchbase
5nHTiGM8HgtMbT2DK,YCombinator,manualEntry
66JWp3zmokaTc57gz,Shy Saga (星瀚资本),manualEntry
5CJZfYKe75WHskxJC,Lippo Group,crunchbase
5LmKRZjoqtTbxT4Wi,Blume Ventures,crunchbase
6uJn46BqazHvJ5pk4,Dave Woodward,manualEntry
